1,JAN,953.47,23
2,FEB,1125.80,57
3,MAR,865.25,84
4,APR,27.90,101
5,MAY,1000.00,32
6,JUN,12.50,73
7,JUL,938.65,92
8,AUG,743.21,48
9,SEP,625.90,69
10,OCT,512.75,93
11,NOV,976.50,16
12,DEC,843.75,76
13,JAN,682.30,37
14,FEB,517.40,82
15,MAR,943.20,51
16,APR,721.10,19
17,MAY,881.50,64
18,JUN,425.60,27
19,JUL,572.90,95
20,AUG,613.80,60
21,SEP,775.25,41
22,OCT,689.40,80
23,NOV,932.15,13
24,DEC,553.20,71
25,JAN,814.60,30
26,FEB,674.90,68
27,MAR,712.80,99
28,APR,869.50,87
29,MAY,746.80,22
30,JUN,932.75,67
31,JUL,583.20,98
32,AUG,715.60,44
33,SEP,628.90,89
34,OCT,503.40,63
35,NOV,927.10,25
36,DEC,865.50,78
37,JAN,705.60,53
38,FEB,529.40,66
39,MAR,981.20,14
40,APR,739.10,49
41,MAY,875.50,81
42,JUN,412.60,58
43,JUL,543.90,75
44,AUG,656.80,10
45,SEP,793.25,35
46,OCT,721.40,91
47,NOV,923.15,47
48,DEC,681.70,102
49,JAN,816.90,26
50,FEB,687.50,85
51,MAR,732.20,9
52,APR,895.40,72
53,MAY,726.80,33
54,JUN,634.75,106
55,JUL,569.20,50
56,AUG,714.60,94
57,SEP,843.90,17
58,OCT,527.40,61
59,NOV,979.20,38
60,DEC,796.10,103
61,JAN,618.50,88
62,FEB,932.60,5
63,MAR,681.90,24
64,APR,747.80,97
65,MAY,879.25,70
66,JUN,713.40,42
67,JUL,925.15,62
68,AUG,825.20,31
69,SEP,639.90,77
70,OCT,725.50,15
71,NOV,878.20,55
72,DEC,712.40,100
73,JAN,937.80,21
74,FEB,649.75,45
75,MAR,562.20,79
76,APR,931.60,29
77,MAY,785.90,104
78,JUN,695.40,12
79,JUL,514.15,40
80,AUG,986.70,54
81,SEP,710.90,83
82,OCT,821.50,8
83,NOV,658.60,18
84,DEC,925.90,97
85,JAN,686.20,52
86,FEB,726.40,90
87,MAR,874.25,32
88,APR,735.50,66
89,MAY,894.80,37
90,JUN,729.75,91
91,JUL,640.20,16
92,AUG,812.60,43
93,SEP,679.90,68
94,OCT,928.40,84
95,NOV,762.20,27
96,DEC,652.50,76
97,JAN,816.60,1
98,FEB,537.90,59
99,MAR,985.25,108
100,APR,704.10,74
101,MAY,876.50,23
102,JUN,715.60,48
103,JUL,925.40,81
104,AUG,649.75,56
105,SEP,738.90,96
106,OCT,821.20,30
107,NOV,689.15,63
